Situation 	Topic	Message	Message type	Values 	sub values 
in-vehicle	Arrive late	I am going to be late 	Notifying someone		
in-vehicle	Arrive late	__ will arrive late 	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
in-vehicle	Arrive late	"I’m running late, I’ll be there in __"	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
in-vehicle	Arrive late	"__ is running late, they'll be there in __"	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest --  5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
in-vehicle	Arrive late	I’ll be late for __	Notifying someone	"Dinner, lunch, Breakfast"	
in-vehicle	Arrive late	__ will be late for __	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest  -- Dinner, lunch, Breakfast"	
waiting at stations	Arrive late	My __ is late 	Notifying someone	"Flight, Bus, Ride, Train, Uber"	
in-vehicle	Arrive late	I stuck in traffic!	Notifying someone		
in-vehicle	Arrive late	__ stuck in traffic!	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
walking to stations	Arrive late	I came back late!	Notifying someone		
walking to stations	Arrive late	__ came back late!	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
in-vehicle	Arrive late	"I’m running late, I’ll be there as soon as I can "	Notifying someone		
in-vehicle	Arrive late	"__ is running late, they’ll be there as soon as they can "	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
walking to stations	Arrive late	I’m going to miss the __	Notifying someone	"Train, bus, plane, shuttle"	
walking to stations	Arrive late	__ is going to miss the __	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
waiting at stations	Arrive late	"I missed the __, I’m going to be late"	Notifying someone	"Train, bus, plane, shuttle"	
waiting at stations	Arrive late	"__ missed the __, they are going to be late"	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Train, bus, plane, shuttle"	
waiting at stations	Arrive late	"Paratransit didn’t show up, I’ll be there when I can"	Notifying someone		
waiting at stations	Arrive late	"Paratransit didn’t show up, __ will be there when they can"	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
in-vehicle	Arrive late	I will arrive at __ late	Notifying someone	"Work, Class, School, Airport, home"	
in-vehicle	Arrive late	__ will arrive at __ late	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Work, Class, School, Airport, home"	
waiting at stations	Arrive late	"Something unexpected happen, __ is going to be late"	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
waiting at stations	Arrive late	I will be late for our __	Notifying someone	"Appointment, meeting, talk, interview, meal, class, session "	
waiting at stations	Arrive late	__ will be late for our __	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest  -- Appointment, meeting, talk, interview, meal, class, session "	
waiting at stations	Arrive late	The __ has delay 	Notifying someone	"Flight, bus, train"	
in-vehicle	Arrive late	The landing was __ behind the schedule 	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour "	
inside points-of-interest	Arrive late	The landing is __ behind the schedule 	Notifying someone		
in-vehicle	Arrive late	Do you think you might arrive late?	Coordinating with someone		
in-vehicle	Arrive late	Do you think __ might arrive late?	Coordinating with someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
in-vehicle	Arrive late	"Do you think you might arrive late? If so, I can wait"	Coordinating with someone		
in-vehicle	Arrive late	"Do you think __ might arrive late? If so, I can wait"	Coordinating with someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
inside frequently visited locations	Arrive late	"Do you think you might arrive late? If so, I will leave __ later"	Coordinating with someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour "	
inside frequently visited locations	Arrive late	"Do you think __ might arrive late? If so, I will leave __ later"	Coordinating with someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour "	
in-vehicle	Arrive late	I will be late; can you please wait for me?	Coordinating with someone		
in-vehicle	Arrive late	__ will be late; can you please wait?	Coordinating with someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
in-vehicle	Arrive late	I will be late; can you please leave __ later?	Coordinating with someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
in-vehicle	Arrive late	__ will be late; can you please leave __ later?	Coordinating with someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
in-vehicle	Arrive late	I might be late by __; can you please wait for me?	Coordinating with someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
in-vehicle	Arrive late	__ might be late by __; can you please wait?	Coordinating with someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
in-vehicle	Arrive late	I might be late; have you already left the __?	Coordinating with someone	"Work, Class, School, Airport, home"	
in-vehicle	Arrive late	__ might be late; have you already left the __?	Coordinating with someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Work, Class, School, Airport, home"	
in-vehicle	Arrive late	I might arrive late; do you want to reschedule the __?	Rescheduling plans	"Meeting, appointment, interview, call, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
in-vehicle	Arrive late	"Are you going to be late? If so, we can reschedule the __"	Rescheduling plans		
in-vehicle	Arrive late	__ might arrive late; do you want to reschedule the __?	Rescheduling plans	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Meeting, appointment, interview, call, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
waiting at stations	Arrive late	"__ is going to be late? If so, we can reschedule the __"	Rescheduling plans		
waiting at stations	Arrive late	I am going to be late; can you give a ride please?	Requesting help		
waiting at stations	Arrive late	__ is going to be late; can you give a ride please?	Requesting help	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
in-vehicle	Arrive late	I stuck in traffic at * and will be late; I need a ride 	Requesting help		
in-vehicle	Arrive late	__ stuck in traffic at * and will be late; I need a ride 	Requesting help	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
nearby points-of-interest	Arrive late	I got lost at * and will be late; I need a ride 	Requesting help		
nearby points-of-interest	Arrive late	__ got lost at * and will be late; I need a ride 	Requesting help	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
inside points-of-interest	Arrive late	I am going to be late; can you request a ride please?	Requesting help		
inside points-of-interest	Arrive late	__ is going to be late; can you request a ride please?	Requesting help	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
inside points-of-interest	Arrive late	I am going to be late; can you ask __ for a ride?	Requesting help	"Someone, the son, mom, my friend, dad, the daughter, my wife, my husband "	
in-vehicle	Arrive late	I stuck in traffic at * and will be late; can you ask __ for a ride?	Requesting help		
waiting at stations	Arrive late	__ is going to be late; can you ask __ for a ride?	Requesting help	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Someone, the son, mom, my friend, dad, the daughter, my wife, my husband "	
in-vehicle	Arrive late	__ stuck in traffic at * and will be late; can you ask __ for a ride?	Requesting help		
in-vehicle	Arrive late	Do you think you might be late? I can give you a ride 	Offering help		
in-vehicle	Arrive late	Do you think __ might be late? I can give you a ride 	Offering help	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
in-vehicle	Arrive late	Do you think you might be late? I can ask __ to give you a ride 	Offering help	"Someone, the son, mom, my friend, dad, the daughter, my wife, my husband "	
walking to stations	Arrive late	Please remind me if you are going to be late	Reminding someone		
walking to stations	Arrive late	Please remind __ if you are going to be late	Reminding someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
walking to stations	Arrive late	Please remind me if __ is going to be late	Reminding someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
walking to stations	Arrive late	Please remind me if you are going to be late for the __	Reminding someone	"Work, class, meeting, appointment, dinner, lunch, breakfast, school, event, church, ride, bus, train, conference, interview, presentation, visit, movie"	
walking to stations	Arrive late	Please remind __ if you are going to be late for the __	Reminding someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Work, class, meeting, appointment, dinner, lunch, breakfast, school, event, church, ride, bus, train, conference, interview, presentation, visit, movie"	
walking to stations	Arrive late	Please remind me if __ is going to be late for the __	Reminding someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Work, class, meeting, appointment, dinner, lunch, breakfast, school, event, church, ride, bus, train, conference, interview, presentation, visit, movie"	
walking to stations	Arrive late	Please remember that I am going to be late	Reminding someone		
walking to stations	Arrive late	Please remember that __ is going to be late	Reminding someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest "	
walking to stations	Arrive late	Please remember that I am going to be late for __	Reminding someone	"Work, class, meeting, appointment, dinner, lunch, breakfast, school, event, church, ride, bus, train, conference, interview, presentation, visit, movie"	
walking to stations	Arrive late	Please remember that __ is going to be late for __	Reminding someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Work, class, meeting, appointment, dinner, lunch, breakfast, school, event, church, ride, bus, train, conference, interview, presentation, visit, movie"	
in-vehicle	Arrive late	I might arrive late; do you want to cancel the __?	Scheduling plans	"Meeting ,appointment, interview, call, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
in-vehicle	Arrive late	__ might arrive late; do you want to cancel the __?	Scheduling plans	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Meeting ,appointment, interview, call, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
in-vehicle	Arrive late	"If you are going to arrive late, I can cancel the __?"	Scheduling plans	"Meeting ,appointment, interview, call, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
in-vehicle	Arrive late	"If __ is going to arrive late, I can cancel the __?"	Scheduling plans	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague, the speaker, our guest -- Meeting ,appointment, interview, call, plan, trip, reservation, ride, session, visit, event, dinner, lunch, breakfast "	
